//Used two threads, tried to solve same problem, each in a different thread
//and only one completed properly

[Server@619a5dff]: Startup sequence initiated from main() method
[Server@619a5dff]: Could not load properties from file
[Server@619a5dff]: Using cli/default properties only
[Server@619a5dff]: Initiating startup sequence...
[Server@619a5dff]: Server socket opened successfully in 13 ms.
[Server@619a5dff]: Database [index=0, id=0, db=mem:../database/db, alias=database] opened successfully in 494 ms.
[Server@619a5dff]: Startup sequence completed in 565 ms.
[Server@619a5dff]: 2021-08-15 14:36:03.763 HSQLDB server 2.6.0 is online on port 9001
[Server@619a5dff]: To close normally, connect and execute SHUTDOWN SQL
[Server@619a5dff]: From command line, use [Ctrl]+[C] to abort abruptly
getVariableCount:1629038206459,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206494,14,HSQLDB Connection @5945d365
getVariableCount:1629038206559,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206594,14,HSQLDB Connection @5945d365
getVariableCount:1629038206659,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206694,14,HSQLDB Connection @5945d365
getVariableCount:1629038206759,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206794,14,HSQLDB Connection @5945d365
getVariableCount:1629038206860,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206895,14,HSQLDB Connection @5945d365
getVariableCount:1629038206960,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206995,14,HSQLDB Connection @5945d365
getVariableCount:1629038207060,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038207095,14,HSQLDB Connection @5945d365
getVariableCount:1629038207160,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038207195,14,HSQLDB Connection @5945d365
getVariableCount:1629038207261,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038207296,14,HSQLDB Connection @5945d365
getVariableCount:1629038207361,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038207396,14,HSQLDB Connection @5945d365
getVariableCount:1629038207461,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038207496,14,HSQLDB Connection @5945d365
getVariableCount:1629038207561,17,HSQLDB Connection @563bf2bb
